RecordNumber,ACT_EFFORT,Model,prec,flex,resl,team,pmat,rely,cplx,data,ruse,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,sced,site,docu,Physical Delivered KLOC
1,117.6,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,33
2,117.6,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,31.1
3,31.2,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,9.5
4,36,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,8.4
5,25.2,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,10.6
6,8.4,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,2.7
7,10.8,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,4.6
8,352.8,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,73.3
9,72,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1.63,1.46,0.87,0.85,0.88,1,0.88,1,0.91,1.09,1,0.93,1,8
10,72,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.76,1,0.81,1,0.91,1.17,1,0.93,1,100
11,24,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.81,1,0.91,1.17,1,0.93,1,6.5
12,360,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.76,1,0.81,1,0.91,1.17,1,0.93,1,100
13,36,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,1,1,0.81,1,1.09,1.17,1,0.93,1,15
14,215,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,1.15,0.85,0.88,1,0.88,1.09,1.2,1.17,1,0.93,1,100
15,48,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.81,1,0.91,1.17,1,0.93,1,20
16,360,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,1,1,1,1,1.2,1.17,1,0.93,1,100
17,324,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1.46,0.87,0.85,0.76,1,0.81,1,0.91,1.17,1,0.93,1,150
18,60,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1,50
19,48,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.81,1,0.91,1.17,1,0.93,1,20
20,60,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1.46,0.87,0.85,1,1,0.88,1,0.91,1.17,1,0.93,1,40
21,60,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,50
22,300,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,169
23,120,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,75
24,90,cocomoII,2.48,2.03,2.83,1.1,6.24,1.1,1,1,1,1.11,1,1,1,0.88,1,0.88,1,1,1.17,1,0.93,1,15
25,210,cocomoII,2.48,2.03,2.83,1.1,6.24,1.1,1.17,1,1,1,1,1,1,0.88,1,0.88,1,1,1.17,1,0.93,1,38
26,48,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1,1,1,1,1,1,1,0.88,1,0.88,1,1,1.17,1,0.93,1,10
27,70,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,22.8
28,239,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,68.3
